Date,Anomaly,Year,Predicted_linear,Predicted_poly
2000-12-31,0.41250000000000003,2000,0.5544173461463799,0.47463801960475394
2001-12-31,0.5483333333333333,2001,0.5658699475829927,0.49512661005792324
2002-12-31,0.6208333333333333,2002,0.577322549019609,0.5162377114647825
2003-12-31,0.6291666666666667,2003,0.5887751504562218,0.537982858975738
2004-12-31,0.5599999999999999,2004,0.6002277518928345,0.560373587799404
2005-12-31,0.6958333333333333,2005,0.6116803533294508,0.5834214330861869
2006-12-31,0.655,2006,0.6231329547660636,0.6071379300374247
2007-12-31,0.645,2007,0.6345855562026799,0.6315346138253517
2008-12-31,0.5458333333333333,2008,0.6460381576392926,0.6566230196440301
2009-12-31,0.6675,2009,0.6574907590759089,0.6824146826584183
2010-12-31,0.7341666666666667,2010,0.6689433605125217,0.7089211380553024
2011-12-31,0.615,2011,0.6803959619491344,0.7361539210141927
