Year,Anomaly,Predicted_linear,Predicted_quad,Predicted_piecewise
1959,0.08,0.084860687245195,-0.010950382525402896,0.021950988491353875
1960,0.006666666666666668,0.09631328868180924,-0.004498022103752525,0.025811040078366626
1961,0.07833333333333334,0.1077658901184235,0.002276934512411677,0.02967109166537938
1962,0.055,0.11921849155503775,0.009374487323089653,0.03353114325239213
1963,0.06833333333333334,0.130671092991652,0.01679463632828143,0.03739119483940488
1964,-0.16333333333333333,0.14212369442826625,0.024537381527987012,0.041251246426417636
1965,-0.075,0.15357629586488053,0.032602722922206395,0.04511129801343038
1966,-0.03,0.16502889730149478,0.04099066051093957,0.04897134960044314
1967,0.008333333333333333,0.17648149873810903,0.04970119429418654,0.052831401187455884
1968,-0.055,0.18793410017472328,0.058734324271947316,0.05669145277446864
1969,0.10083333333333333,0.19938670161133754,0.06809005044422188,0.06055150436148139
1970,0.05666666666666667,0.2108393030479518,0.07776837281101026,0.06441155594849414
1971,-0.056666666666666664,0.22229190448456604,0.08776929137231242,0.0682716075355069
1972,0.06333333333333334,0.2337445059211803,0.09809280612812837,0.07213165912251965
1973,0.19666666666666666,0.24519710735779454,0.10873891707845813,0.0759917107095324
1974,-0.04833333333333334,0.2566497087944088,0.1197076242233017,0.07985176229654514
1975,0.010833333333333334,0.26810231023102304,0.13099892756265905,0.0837118138835579
1976,-0.051666666666666666,0.2795549116676373,0.1426128270965302,0.08757186547057065
1977,0.2041666666666667,0.29100751310425155,0.15454932282491515,0.0914319170575834
1978,0.10666666666666667,0.3024601145408658,0.16680841474781388,0.09529196864459616
1979,0.20083333333333334,0.31391271597748005,0.17939010286522644,0.0991520202316089
1980,0.31,0.3253653174140943,0.19229438717715278,0.12024004603795004
1981,0.35250000000000004,0.33681791885070855,0.2055212676835929,0.14132807184429116
1982,0.17416666666666666,0.3482705202873228,0.21907074438454688,0.1624160976506323
1983,0.34833333333333333,0.35972312172393706,0.2329428172800146,0.18350412345697342
1984,0.1925,0.3711757231605513,0.2471374863699961,0.20459214926331457
1985,0.1575,0.38262832459716556,0.2616547516544915,0.22568017506965568
1986,0.22666666666666668,0.39408092603377987,0.2764946131335006,0.24676820087599682
1987,0.3433333333333333,0.40553352747039406,0.2916570708070235,0.26785622668233794
1988,0.4025,0.41698612890700837,0.30714212467506025,0.28894425248867905
1989,0.2833333333333333,0.42843873034362256,0.3229497747376108,0.3100322782950202
1990,0.45166666666666666,0.43989133178023687,0.33908002099467505,0.33112030410136134
1991,0.4175,0.45134393321685107,0.35553286344625323,0.35220832990770246
1992,0.24,0.4627965346534654,0.3723083020923451,0.37329635571404357
1993,0.26916666666666667,0.47424913609007957,0.3894063369329508,0.39438438152038474
1994,0.3275,0.4857017375266939,0.4068269679680703,0.41547240732672586
1995,0.4808333333333334,0.4971543389633081,0.42457019519770367,0.43656043313306697
1996,0.35000000000000003,0.5086069403999224,0.44263601862185076,0.45764845893940814
1997,0.4875,0.5200595418365366,0.46102443824051165,0.47873648474574926
1998,0.6341666666666667,0.5315121432731509,0.47973545405368634,0.4998245105520904
1999,0.41,0.5429647447097652,0.49876906606137483,0.5209125363584315
2000,0.41250000000000003,0.5544173461463794,0.5181252742635771,0.5420005621647727
2001,0.5483333333333333,0.5658699475829936,0.5378040786602932,0.5630885879711137
2002,0.6208333333333333,0.5773225490196079,0.5578054792515231,0.5841766137774549
2003,0.6291666666666667,0.5887751504562222,0.5781294760372668,0.6052646395837961
2004,0.5599999999999999,0.6002277518928364,0.5987760690175243,0.6263526653901371
2005,0.6958333333333333,0.6116803533294506,0.6197452581922955,0.6474406911964783
2006,0.655,0.6231329547660649,0.6410370435615806,0.6685287170028195
2007,0.645,0.6345855562026792,0.6626514251253796,0.6896167428091605
2008,0.5458333333333333,0.6460381576392934,0.6845884028836923,0.7107047686155017
2009,0.6675,0.6574907590759076,0.7068479768365187,0.7317927944218429
2010,0.7341666666666667,0.6689433605125219,0.729430146983859,0.7528808202281839
2011,0.615,0.6803959619491362,0.752334913325713,0.7739688460345251
2012,0.655,0.6918485633857504,0.7755622758620809,0.7950568718408662
2013,0.6791666666666667,0.7033011648223646,0.7991122345929625,0.8161448976472073
2014,0.755,0.7147537662589789,0.8229847895183581,0.8372329234535485
2015,0.9166666666666666,0.7262063676955932,0.8471799406382673,0.8583209492598896
2016,1.03,0.7376589691322074,0.8716976879526903,0.8794089750662307
2017,0.9391666666666666,0.7491115705688216,0.8965380314616271,0.9004970008725719
2018,0.8741666666666666,0.7605641720054359,0.9217009711650779,0.921585026678913
2019,0.9866666666666667,0.7720167734420502,0.9471865070630423,0.9426730524852541
2020,1.02,0.7834693748786644,0.9729946391555205,0.9637610782915952
2021,0.8666666666666667,0.7949219763152787,0.9991253674425127,0.9848491040979364
2022,0.8991666666666668,0.8063745777518929,1.0255786919240184,1.0059371299042774
2023,1.1883333333333332,0.8178271791885072,1.052354612600038,1.0270251557106187
2024,1.2866666666666666,0.8292797806251214,1.0794531294705714,1.0481131815169598
2025,1.2825,0.8407323820617357,1.1068742425356188,1.0692012073233008
