Date,Anomaly
1967-07-01,0.015583333333333333
1967-08-01,0.014499999999999997
1967-09-01,0.013583333333333333
1967-10-01,0.014083333333333333
1967-11-01,0.013166666666666665
1967-12-01,0.012416666666666666
1968-01-01,0.0075833333333333326
1968-02-01,0.004749999999999999
1968-03-01,0.004999999999999999
1968-04-01,0.003999999999999998
1968-05-01,0.0027499999999999994
1968-06-01,0.0022499999999999994
1968-07-01,0.000499999999999999
1968-08-01,0.00024999999999999903
1968-09-01,-0.0004166666666666676
1968-10-01,-0.00016666666666666764
1968-11-01,-0.0010000000000000009
1968-12-01,-0.0026666666666666674
1969-01-01,-0.004250000000000001
1969-02-01,-0.005750000000000001
1969-03-01,-0.007000000000000002
1969-04-01,-0.006666666666666667
1969-05-01,-0.005583333333333334
1969-06-01,-0.005583333333333334
1969-07-01,-0.0061666666666666675
1969-08-01,-0.006083333333333335
1969-09-01,-0.005333333333333334
1969-10-01,-0.00425
1969-11-01,-0.002750000000000001
1969-12-01,-0.0005833333333333344
1970-01-01,0.000499999999999999
1970-02-01,0.000999999999999999
1970-03-01,0.0039166666666666655
1970-04-01,0.005583333333333332
1970-05-01,0.006416666666666666
1970-06-01,0.006666666666666666
1970-07-01,0.007
1970-08-01,0.006166666666666666
1970-09-01,0.006333333333333332
1970-10-01,0.005999999999999999
1970-11-01,0.007083333333333332
1970-12-01,0.004416666666666666
1971-01-01,0.0030833333333333325
1971-02-01,0.00041666666666666566
1971-03-01,-0.0014166666666666676
1971-04-01,-0.0031666666666666675
1971-05-01,-0.004416666666666668
1971-06-01,-0.006250000000000001
1971-07-01,-0.007083333333333334
1971-08-01,-0.007583333333333334
1971-09-01,-0.007833333333333335
1971-10-01,-0.008416666666666668
1971-11-01,-0.009500000000000001
1971-12-01,-0.009083333333333334
1972-01-01,-0.011083333333333334
1972-02-01,-0.013500000000000002
1972-03-01,-0.014166666666666668
1972-04-01,-0.014083333333333335
1972-05-01,-0.013666666666666669
1972-06-01,-0.012833333333333334
1972-07-01,-0.012416666666666666
1972-08-01,-0.010666666666666666
1972-09-01,-0.010083333333333335
1972-10-01,-0.009333333333333334
1972-11-01,-0.010000000000000002
1972-12-01,-0.00825
1973-01-01,-0.005666666666666667
1973-02-01,-0.0045000000000000005
1973-03-01,-0.0012500000000000011
1973-04-01,0.0017499999999999987
1973-05-01,0.004333333333333332
1973-06-01,0.006333333333333332
1973-07-01,0.007
1973-08-01,0.006166666666666666
1973-09-01,0.005833333333333333
1973-10-01,0.0055833333333333325
1973-11-01,0.005
1973-12-01,0.0045833333333333325
1974-01-01,0.00425
1974-02-01,0.0029999999999999996
1974-03-01,0.004166666666666667
1974-04-01,0.00575
1974-05-01,0.007499999999999999
1974-06-01,0.007749999999999999
1974-07-01,0.008166666666666666
1974-08-01,0.010083333333333333
1974-09-01,0.011666666666666665
1974-10-01,0.01375
1974-11-01,0.014916666666666665
1974-12-01,0.016083333333333335
1975-01-01,0.017166666666666667
1975-02-01,0.019333333333333334
1975-03-01,0.02175
1975-04-01,0.023916666666666666
1975-05-01,0.026083333333333333
1975-06-01,0.027416666666666666
1975-07-01,0.02816666666666667
1975-08-01,0.027583333333333335
1975-09-01,0.028333333333333332
